gene_id	gene_name	CBA_001	CBA_002	CBA_003	CBA_004	CBA_005	CBA_006	CBA_007	CBA_008	CBA_009	CBA_010
GALNT18	GALNT18	3	2	3	2	1	7	1	2	2	3
GALNT2	GALNT2	84	70	124	125	97	115	111	79	37	213
GALNT3	GALNT3	5	0	0	0	0	0	0	1	5	8
GALNT4	GALNT4	35.173	62.669	134	48.568	11.744	43.883	65.496	29.208	5.061	0
GALNT5	GALNT5	44	38	88	96	65	55	77	42	9	2
GALNT6	GALNT6	23	32	40	30	34	40	37	16	7	9
GALNT7	GALNT7	793	566	742	728	789	571	747	453	225	89
GALNT8	GALNT8	0	0	0	0	0	0	0	0	1	0
GALNT9	GALNT9	0	0	0	0	0	0	0	0	0	0
GALNT9-2	GALNT9	0	0	0	0	0	0	0	0	0	0
GALNTL5	GALNTL5	0	0	0	0	0	0	0	0	0	0
GALNTL6	GALNTL6	0	0	0	0	0	0	0	0	0	0
GALP	GALP	0	0	0	0	0	0	0	0	0	0
GALR1	GALR1	0	0	0	0	0	0	0	0	0	0
GALR2	GALR2	2	0	0	0	1	1	1	0	0	0
GALR3	GALR3	0	0	0	0	0	0	0	0	0	0
GALT	GALT	120	74	114	103	68	97	91	57	10	26
GAMT	GAMT	136	121	217	364	254	202	229	166	14	34
GAN	GAN	14	12	6	15	9	7	13	7	2	4
GANAB	GANAB	106	85	103	119	102	129	159	94	29	82
GANC	GANC	126	103	89	88	92	103	85	70	8	5
GAP43	GAP43	583	454	1057	1390	947	504	681	617	6	1
GAPDH	GAPDH	27078	22859	34736	39401	34806	28871	38550	22916	2747	5080
GAPDHS	GAPDHS	0	0	0	0	1	0	0	0	0	0
GAPT	GAPT	3	1	0	0	0	0	0	0	0	0
GAPVD1	GAPVD1	376	293	385	407	385	348	470	363	144	174
GAR1	GAR1	92.001	92	91	101	116	115	120	62	26	28
GAREM	GAREM	30	27	19	19	15	15	9	25	12	13
GAREML	GAREML	2	2	4	4	4	3	3	4	0	11
GARNL3	GARNL3	6	13	9	5	7	10	18	8	3	1
GARS	GARS	1152	964	1176	962	902	1044	1496	674	342	338
GART	GART	1419	1069	1405.999	1359	1117	1296	1728	781.001	173	227
GAS1	GAS1	16	40	37	41	35	32	26	18	13	84
GAS2	GAS2	0	0	1	0	2	2	0	0	0	0
GAS2L1	GAS2L1	15	16	41	47	29	45	48	9	5	26
GAS2L2	GAS2L2	0	0	0	0	0	0	0	3	0	0
GAS2L3	GAS2L3	63	66.001	108	141	113	110	143.999	112	26	9
GAS5	GAS5	983	1020	763	566	1103	751	812	677	260	364
GAS5-AS1	GAS5-AS1	1	0	2	4	3	3	2	2	0	2
GAS6	GAS6	345	299	416	311	338	635	485	138	76	155
GAS6-AS1	GAS6-AS1	0	1	0	0	0	1	0	0	0	0
GAS6-AS2	GAS6-AS2	155	135	173	161	186	148	220	60	28	32
GAS7	GAS7	1	0	0	0	0	0	0	1	0	0
GAS8	GAS8	30	27	30	51	45	25	30	27	2	5
GAST	GAST	0	2	0	0	0	0	0	0	0	0
GATA1	GATA1	0	0	0	0	0	0	0	0	0	0
GATA2	GATA2	7	5	3	2	2	4	1	2	14	15
GATA3	GATA3	1	0	2	0	1	0	1	1	4	1
GATA3-AS1	GATA3-AS1	0	0	2	0	0	0	0	0	1	0
GATA4	GATA4	1	2	0	0	0	0	0	0	0	4
GATA5	GATA5	0	0	0	0	0	0	0	0	0	0
GATA6	GATA6	5	7	6	4	3	6	3	3	3	8
GATA6-AS1	GATA6-AS1	3	3	3	2	1	0	0	0	0	1
GATAD1	GATAD1	327	310	381	373.001	376	317	370	251	201	234
GATAD2A	GATAD2A	88	101	128.999	90.001	120	88.001	130.999	75	46	82
GATAD2B	GATAD2B	85	55	90	87	67	81	137	95	38	59
GATC	GATC	952	901	1258	1404	1213	1147	1355	780	205	398
GATM	GATM	2	3	0	0	0	0	0	0	0	0
GATM-AS1	GATM-AS1	0	1	0	0	0	0	1	0	0	0
GATS	GATS	8	6	20	30	21	10	28.119	25	2	10
GATSL2	GATSL2	0	0	1	2	1	0	3	1	0	0
GATSL3	GATSL3	11	5	27	45	10	18	23	28	1	6
GBA	GBA	235.762	144.724	244.954	285.686	138.271	210.164	241.508	182.958	37.339	72
GBA2	GBA2	95	52	111.001	107	78	71	106	71.001	11	51
GBA3	GBA3	2	0	2	0	0	0	0	0	0	0
GBAP1	GBAP1	10.237	14.276	25.046	12.315	6.729	5.836	15.492	19.042	6.661	0
GBAS	GBAS	1339	1175	1816	2172	1598	1246	1847.986	1273	389	448
GBE1	GBE1	514	266	440	489	518	356	503	272	280	332
GBF1	GBF1	67	53	76	86	60	52	57	65	19	27
GBGT1	GBGT1	0	2	2	0	1	1	0	1	0	1
GBP1	GBP1	2733.728	1976.72	1774.664	466.468	555.282	1388.247	1631.017	613.004	174	222
GBP1P1	GBP1P1	178.918	107.167	52.535	8	13.12	52.601	40.257	27.668	1	0
GBP2	GBP2	794	355	527.18	307	76	287	285.214	414.328	11	33
GBP3	GBP3	1645.354	1217.114	1109.624	537.532	638.598	906.056	1044.424	715.001	97	115
GBP4	GBP4	12	2	6	0	0	0	7	1	0	0
GBP5	GBP5	458	247	257	80	34	137.097	236.087	99	6	3
GBP6	GBP6	1	0	0	0	0	0	0	0	0	0
GBP7	GBP7	4	0	3	5	3	0	4.002	1	0	0
GBX1	GBX1	1	0	0	0	0	0	0	0	0	0
GBX2	GBX2	0	0	0	0	0	0	0	0	0	0
GC	GC	0	0	0	0	0	0	0	0	0	0
GCA	GCA	544	418	350	198.999	374	272.999	402.999	250	80	37
GCAT	GCAT	75	80	158.999	304	155	130.001	170	109.999	10	33
GCC1	GCC1	66	34	62	34	58	61	58	43	20	39
GCC2	GCC2	519.987	540.382	783.384	736.54	579.674	507.326	838.971	777.017	159.163	138.927
GCDH	GCDH	29	22	34	47	29	18	29	32	2	8
GCFC2	GCFC2	242	229.999	311	274	322.999	207	283	230	98.001	133
GCG	GCG	1	0	2	0	0	0	0	0	1	0
GCGR	GCGR	0	0	0	0	0	0	0	0	0	0
GCH1	GCH1	100	85	59	26	21	58	46	30	13	20
GCHFR	GCHFR	568	414	1258	2374	1054	685	823	1515	44	57
GCK	GCK	0	1	0	1	0	0	0	0	0	0
GCKR	GCKR	0	1	2	2	0	0	0	0	0	0
GCLC	GCLC	125	67	85	75	88	76	98	107	36	67
GCLM	GCLM	749	524	926	871	782	735	872	623	341	577
GCM1	GCM1	4	2	0	0	4	8	2	1	0	0
GCM2	GCM2	2	0	0	0	0	0	0	0	0	0
GCN1L1	GCN1L1	61	63	82	74	69	55	71	39	28	69
GCNT1	GCNT1	446.001	389	513.999	485	370	436	579.001	273	104	155
GCNT2	GCNT2	32	18	10	17	8	12	7	12	3	3
GCNT3	GCNT3	1	0	0	0	0	0	0	1	0	0
GCNT4	GCNT4	0	0	1	0	6	0	4	0	0	0
GCNT7	GCNT7	0	2	2	0	1	2	1	2	0	0
GCOM1	GCOM1	0	0	11.419	0	4.072	0	6.937	0	0	0
GCSAM	GCSAM	1	5	5	7	6	1	0	0	1	0
GCSAML	GCSAML	0	0	0	0	0	0	0	1	0	1
GCSAML-AS1	GCSAML-AS1	0	0	0	0	0	0	0	0	0	0
GCSH	GCSH	856.982	845.94	1224.93	1353.979	1684.95	1061.949	1699.973	1015.94	311.962	361.898
GCSHP3	GCSHP3	5.018	7.052	10.066	9.021	13.05	11.05	5.027	12.057	4.038	12.102
GDA	GDA	6	1	1	2	1	2	1	5	0	0
GDAP1	GDAP1	198	211	217	189	137	126	193	137	33	49
GDAP1L1	GDAP1L1	0	4	1	0	1	2	2	0	0	0
GDAP2	GDAP2	460.999	389	546	474.999	504	495	618.999	316.999	76	83
GDE1	GDE1	321	251	380	469	341	369	462	269	94	135
GDF1	GDF1	0	0	0	0	0	0	0	0	0	0
GDF10	GDF10	0	0	1	0	0	0	0	0	0	0
GDF11	GDF11	107.999	128	174	168	202	126.999	175	118	53	68
GDF15	GDF15	14	10	17	2	1	1	0	25	1	0
GDF2	GDF2	0	0	0	0	0	0	0	1	0	0
GDF3	GDF3	0	0	0	0	0	0	0	0	0	0
GDF5	GDF5	64	67	97	70	69	79	45	34	5	4
GDF6	GDF6	1	1	0	0	0	0	0	0	4	4
GDF7	GDF7	0	0	0	0	0	0	0	0	0	0
GDF9	GDF9	5	11	0	3	7	3	6	2	2	0
GDI1	GDI1	361	274	469	464	252	416	417	228	15	113
GDI2	GDI2	2373	1621	2683	2667	2188	2440	2966	1554	686	510
GDNF	GDNF	11	3	2	1	2	1	13	3	1	3
GDNF-AS1	GDNF-AS1	0	2	1	0	1	0	0	0	1	1
GDPD1	GDPD1	2	7	2	8	11	3	4	5	1	2
GDPD2	GDPD2	0	2	1	2	0	0	2	1	0	1
GDPD3	GDPD3	105	62	88	42	73	93	84	51	1	1
GDPD4	GDPD4	0	0	0	0	0	0	0	0	0	1
GDPD5	GDPD5	3	1	4	1	3	4	3	1	1	10
GDPGP1	GDPGP1	4	0	0	0	1	1	5	3	0	2
GEM	GEM	909	754	875	727	735	860	1015	786	77	62
GEMIN2	GEMIN2	433	328.999	482	539	585.001	337	430	476	166	111
GEMIN4	GEMIN4	82	68	75	98	61	48	63	56	14	19
GEMIN5	GEMIN5	70	93	95	107	101	94	136	64	39	64
GEMIN6	GEMIN6	643	440	564	604	805	489	612	498	257	205
GEMIN7	GEMIN7	270	324.999	343	356.999	397	349	445	238	50	55
GEMIN8	GEMIN8	277.971	275.999	345.001	441	377.972	281	347	276.999	35	35
GEMIN8P4	GEMIN8P4	10.03	14	11	4	7.028	6	15	6	1	0
GEN1	GEN1	204	125	212	239	167.001	168	178	154	114	109
GET4	GET4	234	318	271	275	189	296	235	168	20	51
GFAP	GFAP	22	5	25	38	6	12	5	15	7	47
GFER	GFER	150	168	148	204	213	156	161	118	15	36
GFI1	GFI1	3	1	1	0	1	0	0	2	0	0
GFI1B	GFI1B	0	0	0	0	2	0	0	0	0	0
GFM1	GFM1	493	323	499	422	376	356	570	384	191	250
GFM2	GFM2	268	162.999	258.999	350	209	206	316.001	185	59	78
GFOD1	GFOD1	13	7	16	10	14	12	15	5	11	29
GFOD2	GFOD2	21.999	26	28	34	30	30	31	21	5	19
GFPT1	GFPT1	1063	733	1211	1024	880	926	1327	697	317	395
GFPT2	GFPT2	354	222	441	412	278	394	413	141	51	62
GFRA1	GFRA1	0	4	4	0	1	2	1	1	12	18
GFRA2	GFRA2	0	0	0	0	0	1	0	0	0	1
GFRA3	GFRA3	0	0	0	1	4	0	2	0	0	0
GFRA4	GFRA4	0	0	0	0	0	0	0	0	0	0
GFRAL	GFRAL	0	0	1	0	0	1	0	0	0	0
GFY	GFY	0	0	0	0	0	0	0	0	0	0
GGA1	GGA1	47	57	64	68	56	46	66	28	13	26
GGA2	GGA2	59	86	85	90	59	83	79	75	36	66
GGA3	GGA3	24	25	28	22	23	25	14	9	8	34
GGACT	GGACT	105	81	100	110	94	89	120	83	26	17
GGCT	GGCT	1612	1296.001	1530.001	1755	1807	1375	1878	1376	374	385
GGCX	GGCX	316	188	288	286	263	228	252	225	101	263
GGH	GGH	3447	2419	3475	3914	4280	2730	4253	4068	445	623
GGN	GGN	0	0	2	2	2	2	0	1	0	1
GGNBP1	GGNBP1	0	0	0	0	0	0	0	0	0	0
GGNBP2	GGNBP2	705	621	819	909	677	569	921	619	179	273
GGPS1	GGPS1	1216	894	1394	1550	1550	1066	1483	1366	342	206
GGT1	GGT1	1	0	1	0	0	0	0	2	0	0
GGT2	GGT2	0	0	0	0	1	0	0	0	0	0
GGT3P	GGT3P	0	0	0	0	0	0	0	0	0	0
GGT5	GGT5	69	57	72	77	34	52	50	59.946	4	15
GGT6	GGT6	0	0	0	0	0	0	0	0	0	1
GGT7	GGT7	11	12	21	17	14	14	17	12	0	4
GGT8P	GGT8P	0	0	0	0	0	0	0	0	0	0
GGTA1P	GGTA1P	0	0	1	1	0	0	0	0	0	0
GGTLC1	GGTLC1	0	0	0	0	1	0	0	0	0	0
GGTLC2	GGTLC2	0	0	0	0	0	0	0	0	0	0
GH1	GH1	0	0	0	0	0	0	0	0	0	0
GH2	GH2	0	0	0	0	0	0	0	1	0	0
GHDC	GHDC	15	9	9	12	10	9	9	5	1	8
GHITM	GHITM	2904	2351	3407	3715	3310	3168	3560	2080	428	600
GHR	GHR	0	1	0	2	3	0	1	0	0	0
GHRH	GHRH	0	0	0	0	0	0	0	0	0	0
GHRHR	GHRHR	0	0	0	0	0	0	0	0	0	0
GHRL	GHRL	0	0	0	0	0	0	0	0	0	0
GHRLOS	GHRLOS	4	7	0	2	0	1	3	2	0	0
GHSR	GHSR	0	0	0	0	0	0	0	0	0	0
GID4	GID4	51	46	40	37	64.999	65	52	36	26	52
GID8	GID8	309	316	397	434	362	347	412	346	102	181
GIF	GIF	0	0	0	0	0	0	0	0	0	0
GIGYF1	GIGYF1	24	27.049	25	18	22	23	24	23	3	17
GIGYF2	GIGYF2	142	158	169	131	141	130	198	82	50	63
GIMAP1	GIMAP1	0	0	0	0	0	0	0	0	0	1
GIMAP1-GIMAP5	GIMAP1-GIMAP5	0	0	0	0	0	0	0	0	0	0
GIMAP2	GIMAP2	26	24	20	3	0	10	7	9	0	2
GIMAP4	GIMAP4	1	1	0	0	0	0	0	0	0	0
GIMAP5	GIMAP5	0	0	0	0	0	0	0	0	0	0
GIMAP6	GIMAP6	1	0	1	0	0	0	0	0	0	1
GIMAP7	GIMAP7	0	0	0	0	0	0	0	0	0	0
GIMAP8	GIMAP8	0	0	0	0	0	1	0	0	0	0
GIMD1	GIMD1	1	0	0	0	1	0	0	0	0	0
GIN1	GIN1	285	192	237	271	375.001	176	292	235	104	71
GINM1	GINM1	715	553	927	834	729	760	843	650	77	50
GINS1	GINS1	540	418.001	592	628	357	527	567	371	64	124
GINS2	GINS2	552	430	618	733	678	551	639	524	98	101
GINS3	GINS3	109	77	85	92	69	66	74	52	22	33
GINS4	GINS4	46	26	55	52	28	40	36	41	13	41
GIP	GIP	3	1	3	0	5	4	2	5	1	4
GIPC1	GIPC1	93	97	103	112	83	142	125	54	11	47
GIPC2	GIPC2	27	37	29	11	55	24	36	14	1	6
GIPC3	GIPC3	0	3	0	0	0	0	0	0	0	0
GIPR	GIPR	0	0	0	0	0	0	0	0	0	0
GIT1	GIT1	29	13	26	30	30	33	34	26	7	30
GIT2	GIT2	125.999	87.999	127	166.001	114	127	121.999	114	48.999	52
GJA1	GJA1	239	162	286	346	316	228	370	625	95	207
GJA10	GJA10	0	0	0	0	0	0	0	1	0	0
GJA3	GJA3	15	23	22	19	30	18	16	17	7	11
GJA4	GJA4	0	0	0	0	0	0	0	0	0	0
GJA5	GJA5	2	0	0	2	0	0	0	0	0	0
GJA8	GJA8	1	0	0	0	0	0	0	0	0	0
GJA9	GJA9	0	0	0	0	0	0	0	0	0	0
GJA9-MYCBP	GJA9-MYCBP	13.647	17.211	38.602	20.027	38.578	14.964	50.157	18.936	3.682	12.754
GJB1	GJB1	0	0	0	0	0	0	0	0	0	0
GJB2	GJB2	4662	3462	6322	7244	4154	5557	5450	2527	301	492
GJB3	GJB3	0	0	0	0	0	0	0	1	0	1
GJB4	GJB4	1	0	0	0	0	0	0	0	0	1
GJB5	GJB5	0	0	0	0	0	0	0	0	0	1
GJB6	GJB6	0	0	0	1	0	0	0	0	0	0
GJB7	GJB7	0	1	0	1	0	0	0	0	1	0
GJC1	GJC1	172	152	156	153	158	129	180	110	37	94
GJC2	GJC2	0	1	2	2	0	2	1	0	1	1
GJC3	GJC3	0	1	0	0	0	1	0	3	0	0
GJD2	GJD2	0	0	0	0	0	0	0	0	0	0
GJD3	GJD3	1	2	1	0	2	0	0	1	0	0
GJD4	GJD4	0	0	0	0	0	0	0	0	0	0
GK	GK	219.985	144	194	207	183	153	198	197	61	55
GK2	GK2	0	0	0	0	0	0	0	0	0	0
GK3P	GK3P	1.015	0	0	0	0	0	0	0	0	0
GK5	GK5	86	64	100	108.001	117	67.999	107	111	50	79
GKAP1	GKAP1	61	66.848	54	57	56	70	44	37	29	85.962
GKN1	GKN1	2	1	0	0	0	0	0	0	0	0
GKN2	GKN2	0	0	0	0	0	0	0	0	0	0
GLA	GLA	664	427	582	636	533	478	589	614	101	88
GLB1	GLB1	357	213	469	514	198	315.999	307.999	228	56	113
GLB1L	GLB1L	7	3	23	20	4	1	8	9	2	5
GLB1L2	GLB1L2	1	0	0	0	0	0	0	1	0	0
GLB1L3	GLB1L3	0	0	0	1	0	0	0	0	0	0
GLCCI1	GLCCI1	72	42	90	99	75	44	101	85	54	44
GLCE	GLCE	138	79	112	134	155	137	171	100	51	53
GLDC	GLDC	9	7	2	12	3	6	2	3	0	2
GLDN	GLDN	0	0	0	1	0	0	0	4	0	0
GLE1	GLE1	195	152	204	251	228	147	231	156	125	205
GLG1	GLG1	375	230	544	495	362	360	505.999	354	91	108
GLI1	GLI1	0	0	0	1	0	0	0	0	0	0
GLI2	GLI2	4	7	11	9	17	8	10	14	3	10
GLI3	GLI3	254	197	261	245	240	187	265	194	70	63
GLI4	GLI4	13	11	20	14	16	18	23	20	0	13
GLIDR	GLIDR	33.779	64.219	50.117	73.245	57.325	27.5	50.021	44.76	6.695	7.229
GLIPR1	GLIPR1	3745	2966	4731	4215	4679	3558	5434	4889	705	357
GLIPR1L1	GLIPR1L1	4	0	2	16	4	2	3	17	5	3
GLIPR1L2	GLIPR1L2	22	9	18	24	17	8	12	29	10	1
GLIPR2	GLIPR2	638.001	527.999	839.001	873	940.001	734.001	1040.999	377	115	214.999
GLIS1	GLIS1	1	4	3	2	0	1	3	0	0	2
GLIS2	GLIS2	18	7	16	20	16	15	10	16	3	25
GLIS3	GLIS3	233	224.001	276	255	277	210	281	225	86	135
GLIS3-AS1	GLIS3-AS1	1	1	0	1	0	0	1	1	0	0
GLMN	GLMN	709.999	518	642	829.999	892	559	764	646	133	97
GLO1	GLO1	5986	5020	6812	6924	7429	6101	8226	4276	981	1060
GLOD4	GLOD4	590	493	725	752	468	531	745	540	122	137
GLOD5	GLOD5	0	0	0	0	0	0	0	0	0	0
GLP1R	GLP1R	2	0	0	0	0	0	0	0	0	0
GLP2R	GLP2R	0	0	1	0	0	0	0	0	0	0
GLRA1	GLRA1	0	0	0	0	0	0	0	0	0	0
GLRA2	GLRA2	0	1	0	0	0	0	0	0	0	0
GLRA3	GLRA3	0	0	0	1	0	0	0	0	0	0
GLRA4	GLRA4	0	0	0	0	0	0	0	0	0	0
GLRB	GLRB	425	322	296	338	447	385	474	295	85	49
GLRX	GLRX	566.999	491	494	399	600	394	560.999	392	156	228
GLRX2	GLRX2	1082	1006	1075.001	1023	1418	979	1228	798	296	320.999
GLRX3	GLRX3	1499.999	1360.001	1630	1702	1913	1665	2130	1035	307	307
GLRX5	GLRX5	882	919	1254	1677	1416	1101	1344	865	146	230
GLS	GLS	1114	839.999	1267.999	1342.001	1544	949	1585.999	982	950.001	1070
GLS2	GLS2	0	0	0	0	0	0	0	1	0	0
GLT1D1	GLT1D1	0	0	0	0	0	0	0	0	0	0
GLT6D1	GLT6D1	0	0	0	0	0	0	0	0	0	0
GLT8D1	GLT8D1	461.001	416.001	619.999	747.999	514.999	450.001	638.001	439	149	201
GLT8D2	GLT8D2	80	72	99	124	41	81	79	118	18	15
GLTP	GLTP	138	132	165	193	203	191	212	133	72	167
GLTPD1	GLTPD1	14	16	24	33	15	24	28	16	3	16
GLTPD2	GLTPD2	0	1	0	0	1	0	1	0	0	0
GLTSCR1	GLTSCR1	3	4	3	4	0	5	7	4	4	10
GLTSCR1L	GLTSCR1L	47	51	54	52	68	55	63	58	22	37
GLTSCR2	GLTSCR2	71	68	74	69	77	73	102	73	15	32
GLUD1	GLUD1	1016.973	768.98	894	752.953	771	703.991	859.977	554.997	251	263
GLUD1P3	GLUD1P3	2	4	3	4	1	1	2	3	1	5
GLUD1P7	GLUD1P7	0	1	2	2	0	0	6	1	1	0
GLUD2	GLUD2	3.027	3.02	0	3.047	0	1.009	3.023	1.003	0	0
GLUL	GLUL	360	257	338	308	225	271	347	213	51	220
GLYAT	GLYAT	0	0	0	0	0	0	0	0	0	0
GLYATL1	GLYATL1	0	0	0	0	0	0	0	0	0	0
GLYATL2	GLYATL2	0	0	2	15	0	0	0	12	0	0
GLYATL3	GLYATL3	0	1	0	0	0	0	0	0	0	0
GLYCAM1	GLYCAM1	0	0	0	0	0	0	0	0	0	0
GLYCTK	GLYCTK	36.001	17	35	29.001	14	20.001	38	12	3	10
GLYR1	GLYR1	71	63	94	83.999	82	67	111	91	25	55
GM140	GM140	0	0	0	0	0	0	0	0	0	0
GM2A	GM2A	38	23	29	30	20	18	35	22	13	39
GMCL1	GMCL1	92	50	134	114	105.977	87	77	89	56	51
GMCL1P1	GMCL1P1	0	0	0	0	2.023	0	0	0	0	0
GMDS	GMDS	328	303	347	360.001	226	346	297.001	170	27	39
GMDS-AS1	GMDS-AS1	6	7	22	6	9	1	2	11	1	4
GMEB1	GMEB1	43	76	83	96	69	80	100	48	7	11
GMEB2	GMEB2	15	25	25	20	20	30	29	17	11	17
GMFB	GMFB	5704	4664	4619.001	4793	6967	4082	6538.001	4190.999	1313	451
GMFG	GMFG	1	0	0	1	3	1	2	3	0	2
GMIP	GMIP	3	9	8	9	7	8	14	3	3	3
GML	GML	0	0	0	0	0	0	0	0	0	0
GMNC	GMNC	1	1	0	2	0	0	0	0	0	0
GMNN	GMNN	2677	2246	2447.999	2469.999	2694.001	2110	2423.001	2162	509.999	319
GMPPA	GMPPA	177	164	260	258	162	190.999	195.001	126	18	40
GMPPB	GMPPB	62	63	114	127	73	146	64	44	15	17
GMPR	GMPR	2005	1389	1403	656	421	824	949	935	13	17
GMPR2	GMPR2	190.001	146.001	226.999	278	212	173.001	264	157.001	56	37
GMPS	GMPS	955	699	1151	1199	1014	966	1235	656	243	253
GNA11	GNA11	127	103	182	159	129	207	196	88	28	44
GNA12	GNA12	239	155	241	261	259	214	256	178	87	174
GNA13	GNA13	759	611	491	516	613	454	657	538	275	236
GNA14	GNA14	7	1	1	6	6	0	3	3	2	3
GNA15	GNA15	0	0	0	0	0	0	0	0	0	0
GNAI1	GNAI1	909	1157	1076	812	850	925	756	626	419	406
GNAI2	GNAI2	621	449	909	1059	575	872	865	382	39	228
GNAI3	GNAI3	2875	1927	2975	3309	2654	2521	3448.14	1895	574	584
GNAL	GNAL	21	21	35	33	35.124	29	43	46	9	22
GNAO1	GNAO1	5	5	6	0	0	0	0	0	0	0
GNAQ	GNAQ	692	501	637	598	652	464	672	610	480	785
GNAS	GNAS	4264.001	3668.999	6009	6483.999	5267	4771.001	6277.86	4231	1686.999	3849.999
GNAS-AS1	GNAS-AS1	6	4	1	3	1	1	2	2	0	1
GNAT1	GNAT1	0	0	0	0	1	0	0	0	0	0
GNAT2	GNAT2	1	5	0	2	0	0	3	0	0	0
GNAT3	GNAT3	0	0	0	0	0	0	0	1	0	0
GNAZ	GNAZ	32	21	32	31	53	49	51	17	15	30
GNB1	GNB1	955	728	1043	950	951	923	1078.579	532	225	344
GNB1L	GNB1L	12	17	20	22	13	31.81	10	7	4	3
GNB2	GNB2	269	223	333	362	346	261	379.421	195	40	206
GNB2L1	GNB2L1	4460	3659	4918	5021	6460	4764	6567	3056	985	1414
GNB3	GNB3	4	11	9	5	10	6	4	5	1	8
GNB4	GNB4	1298	985	1362	946	934	1018.999	1515	810	253	265
GNB5	GNB5	127	92	172	161	143	141	172	99	46	86
GNE	GNE	90	85.999	128	85	77	91	108	77	26	87
GNG10	GNG10	5179.971	4998.714	4963.255	5435	7748	4462	6580.347	4108	1875	2602
GNG11	GNG11	950	768	972	955	1038	627	1062	1271	483	476
GNG12	GNG12	2950	2465	3355	3095	3720	2851	4149	1804	1361	1135
GNG12-AS1	GNG12-AS1	2	1	6	5	2	4	1	3	0	0
GNG13	GNG13	0	0	0	0	0	0	0	0	0	0
GNG2	GNG2	397.001	305	355	347	396	258	393	363	136	149.999
GNG3	GNG3	2	2	1	9	2	0	1	1	0	0
GNG4	GNG4	51	51	78	88	77	71	64	34	4	8
GNG5	GNG5	8632	7207	7557	6869	9291	6241	8898	7025	1528	1413
GNG7	GNG7	0	0	3	2	3	0	3	9	0	0
GNG8	GNG8	0	0	0	0	0	0	0	0	0	0
GNGT1	GNGT1	0	0	0	0	0	0	0	0	0	0
GNGT2	GNGT2	1	0	0	0	0	0	0	0	0	0
GNL1	GNL1	41	35	50	64	26	46	49	25	10	35
GNL2	GNL2	974	735	1085	1024	861	987	1269	662	241	230
GNL3	GNL3	2380.001	2026	2626	2402	3368	2644	3288	1850.999	389	354
GNL3L	GNL3L	110	98	169	128	144	121	199	84	24	47
GNLY	GNLY	0	0	0	0	0	1	2	0	0	0
GNMT	GNMT	8	7	8	24	9	17	5	14	2	2
GNN	GNN	1	4	2	1	2	2	1	0	3	0
GNPAT	GNPAT	606.999	441.999	754	789	809	617	878	448	204	236
GNPDA1	GNPDA1	455	343	487	434	432	372	523	358	66	122
GNPDA2	GNPDA2	787.001	618.999	683.999	718.001	1001	561.001	920.999	856.999	184.001	127
GNPNAT1	GNPNAT1	951	622	813	704	1098	722.999	1117	701	179	139
GNPTAB	GNPTAB	129	87	121	146	142	110	151	127	75	46
GNPTG	GNPTG	233	221	376	432	251	250	279	261	24	54
GNRH1	GNRH1	30	13	15	23	20	6	14	17	3	8
GNRH2	GNRH2	0	0	0	0	0	0	0	0	0	0
GNRHR	GNRHR	2	3	3	0	1	1	0	5	0	0
GNRHR2	GNRHR2	8	4	3	6	1	6	14	1	1	0
GNS	GNS	466	382	571	535	428	394	488	511	159	240
GOLGA1	GOLGA1	115	71	105	96	75.001	89	100	79	24	37
GOLGA2	GOLGA2	75	81	125	113	128.031	110	132	100	39	71
GOLGA2P2Y	GOLGA2P2Y	0	0	0	0	0	0	0	0	0	0
GOLGA2P5	GOLGA2P5	0	5	1	1	0	4	0	1	0	2
GOLGA2P7	GOLGA2P7	2.889	3.905	9	8.573	1.013	2.407	4.144	2.27	6	9.353
GOLGA3	GOLGA3	83	74	111	140.999	87	81	122	80	60	100.001
GOLGA4	GOLGA4	1390.999	1218	1471	1265	1559.001	1313	1625	1049	907.001	532
GOLGA5	GOLGA5	566	462	845	720	675	584	833	514	213	129
GOLGA6A	GOLGA6A	1	0	1	0	0	0	0	0	0	0
GOLGA6B	GOLGA6B	0	1	1	0	0	0	0	0	0	0
GOLGA6C	GOLGA6C	0	1	1	1	1	0	1.002	0	0	0
GOLGA6D	GOLGA6D	0	0	0	0	0	0	0	1	0	0
GOLGA6L1	GOLGA6L1	1	0	0	0	0	0	0	0	0	0
GOLGA6L10	GOLGA6L10	11.5	7.348	8.044	15.007	8.912	7.787	4.072	2.729	6.999	2.121
GOLGA6L2	GOLGA6L2	1	4	0	2	3	0	2	2	0	0
GOLGA6L3	GOLGA6L3	0	0	0	0	0	0	0	0	0	0
GOLGA6L4	GOLGA6L4	0	0	0	0	1.662	0	0	0	0	0
GOLGA6L5P	GOLGA6L5P	14.276	10.43	7.255	1.434	7.555	5.046	3.271	6.083	0	5.267
GOLGA6L6	GOLGA6L6	0	0	0	0	1.459	0	0	0	0	0
GOLGA6L7P	GOLGA6L7P	0	0	0	0	0	0	0	0	0	0
GOLGA6L9	GOLGA6L9	37.61	27.841	55.008	46.991	72.299	56.292	52.269	42.248	53.057	59.66
GOLGA7	GOLGA7	1504	1370	1600	1726	1720	1405	2073	1581	192	266
GOLGA7B	GOLGA7B	0	0	0	2	0	1	0	0	0	0
GOLGA8A	GOLGA8A	20.197	18.851	44.341	34.479	19.94	25.382	42.536	19.454	9.46	22.151
GOLGA8B	GOLGA8B	214.689	167.078	263.659	244.522	236.032	169.611	255.456	246.535	108.54	209.314
