"","CBA_001","CBA_002","CBA_004","CBA_005","CBA_007","CBA_008"
"PPIAL4B",1,0,0,4,1,2
"PPIAL4C",0,0,0,7,0,0
"PPIAL4D",0,0,0,0,0,1
"PPIAL4E",0,0,0,0,0,0
"PPIAL4F",0,0,0,0,0,0
"PPIAL4G",5,4,5,0,5,0
"PPIAP30",0,2,1,0,0,0
"PPIB",9221,7675,10287,11489,10825,9560
"PPIC",685,525,1033,743,958,1326
"PPID",699,585,723,766,944,546
"PPIE",1175,995,1223,1228,1273,1107
"PPIEL",1,0,0,0,1,1
"PPIF",691,543,663,663,570,378
"PPIG",1288,1124,1427,1368,1442,1261
"PPIH",441,375,602,497,471,414
"PPIL1",1429,1195,1794,2035,1978,1281
"PPIL2",44,33,63,53,46,40
"PPIL3",506,366,571,715,653,627
"PPIL4",1442,1309,1518,1780,1617,1339
"PPIL6",43,32,44,71,58,26
"PPIP5K1",15,12,14,22,28,23
"PPIP5K2",394,323,757,731,925,600
"PPL",23,8,21,7,5,20
"PPM1A",254,302,192,252,248,222
"PPM1B",395,247,411,301,295,311
"PPM1D",56,36,59,31,66,57
"PPM1E",13,17,9,20,7,16
"PPM1F",59,42,44,55,55,21
"PPM1G",498,417,687,449,642,317
"PPM1H",8,3,5,4,3,2
"PPM1J",0,1,0,0,2,0
"PPM1K",477,384,120,127,291,171
"PPM1L",1,3,1,3,1,0
"PPM1M",12,18,19,14,21,20
"PPM1N",68,31,61,63,50,45
"PPME1",371,292,504,319,522,274
"PPOX",26,29,72,43,37,46
"PPP1CA",1725,1713,3340,2337,3027,1475
"PPP1CB",3087,2387,3311,4799,4224,3578
"PPP1CC",458,388,515,571,563,419
"PPP1R10",209,171,262,188,300,193
"PPP1R11",725,675,868,778,903,605
"PPP1R12A",1091,904,970,1037,1180,669
"PPP1R12B",14,14,18,14,25,13
"PPP1R12C",13,17,21,26,25,9
"PPP1R13B",16,11,10,13,14,6
"PPP1R13L",52,46,31,57,45,29
"PPP1R14A",0,2,2,1,0,2
"PPP1R14B",1597,1406,2584,2992,2898,1248
"PPP1R14C",2,0,2,0,7,1
"PPP1R14D",0,0,0,0,0,0
"PPP1R15A",200,262,96,89,242,107
"PPP1R15B",322,363,277,407,390,276
"PPP1R16A",8,12,16,10,17,11
"PPP1R16B",1,0,2,0,0,3
"PPP1R17",5,1,1,2,1,0
"PPP1R18",273,251,228,216,257,185
"PPP1R1A",0,0,0,0,0,0
"PPP1R1B",0,0,2,0,0,7
"PPP1R1C",14,11,3,3,7,7
"PPP1R2",600,587,603,766,631,508
"PPP1R21",56,82,90,63,69,70
"PPP1R26",14,20,17,8,20,14
"PPP1R26-AS1",1,2,2,4,0,0
"PPP1R27",0,0,0,0,0,0
"PPP1R2P3",3,2,5,5,1,1
"PPP1R2P9",0,0,0,0,0,0
"PPP1R32",0,1,3,1,4,2
"PPP1R35",364,355,456,433,425,305
"PPP1R36",11,5,12,16,4,10
"PPP1R37",2,4,5,5,5,0
"PPP1R3A",4,0,0,1,2,0
"PPP1R3B",95,100,69,72,77,114
"PPP1R3C",52,117,98,57,40,116
"PPP1R3D",31,47,20,44,39,19
"PPP1R3E",28,44,21,21,11,12
"PPP1R3F",12,19,18,12,23,12
"PPP1R3G",3,0,1,1,3,1
"PPP1R42",0,0,0,1,0,2
"PPP1R7",784,711,1146,989,1235,722
"PPP1R8",151,156,163,169,209,185
"PPP1R9A",105,106,95,138,191,104
"PPP1R9B",15,13,18,22,26,16
"PPP2CA",2671,2485,3198,2692,3291,1941
"PPP2CB",526,398,430,527,560,354
"PPP2R1A",680,619,940,549,756,476
"PPP2R1B",473,344,492,454,626,322
"PPP2R2A",704,514,416,580,594,455
"PPP2R2B",17,3,8,25,8,11
"PPP2R2B-IT1",0,0,0,0,0,0
"PPP2R2C",2,0,0,0,0,0
"PPP2R2D",131,101,180,141,207,142
"PPP2R3A",327,243,504,485,625,341
"PPP2R3B",17,12,25,16,11,9
"PPP2R3B-2",0,0,0,0,0,0
"PPP2R3C",1889,1541,1755,2198,2009,1623
"PPP2R4",68,64,89,80,80,57
"PPP2R5A",149,98,161,153,155,135
"PPP2R5B",10,9,8,4,7,3
"PPP2R5C",2067,1647,2389,2749,2884,2080
"PPP2R5D",75,78,135,107,101,72
"PPP2R5E",412,328,423,564,505,336
"PPP3CA",477,449,786,746,783,712
"PPP3CB",150,152,215,197,187,162
"PPP3CC",224,195,177,198,259,110
"PPP3R1",62,52,26,66,56,32
"PPP3R2",2,0,0,0,0,0
"PPP4C",552,515,990,577,772,457
"PPP4R1",492,364,450,481,580,351
"PPP4R1L",26,24,18,17,27,16
"PPP4R2",278,264,199,253,299,200
"PPP4R4",10,7,2,5,2,3
"PPP5C",257,259,391,215,341,228
"PPP5D1",3,11,4,7,14,10
"PPP6C",1591,1290,1683,2116,2147,1458
"PPP6R1",28,31,38,28,40,31
"PPP6R2",56,67,69,62,91,66
"PPP6R3",333,278,399,351,501,326
"PPRC1",60,75,66,73,94,51
"PPT1",2424,2084,3916,3248,4113,3167
"PPT2",32,34,64,38,36,31
"PPT2-EGFL8",0,0,0,0,3,0
"PPTC7",20,30,27,21,17,16
"PPWD1",654,486,749,767,813,716
"PPY",0,0,0,0,0,0
"PPY2",0,0,0,0,0,0
"PQBP1",581,489,705,594,688,438
"PQLC1",43,39,74,70,67,46
"PQLC2",48,46,61,28,57,38
"PQLC3",453,361,629,504,617,369
"PRAC1",0,0,0,0,2,0
"PRAC2",7,5,13,4,2,8
"PRADC1",150,169,382,289,232,179
"PRAF2",867,764,1344,1085,1229,954
"PRAM1",0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0
"PRAMEF10",0,1,0,0,0,0
"PRAMEF11",0,0,0,0,0,0
"PRAMEF12",1,0,0,0,0,0
"PRAMEF13",0,1,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0
"PRAMEF2",0,1,0,0,0,0
"PRAMEF20",1,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,1
"PRAMEF5",0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0
"PRAMENP",0,0,0,0,0,0
"PRAP1",0,0,0,2,0,1
"PRB1",0,0,0,0,0,0
"PRB2",0,0,0,0,0,0
"PRB3",0,0,0,1,0,0
"PRB4",0,0,0,0,0,0
"PRC1",746,452,1528,720,1198,632
"PRC1-AS1",31,21,43,29,33,22
"PRCC",175,166,242,166,220,141
"PRCD",0,0,0,1,0,0
"PRCP",439,312,483,398,555,391
"PRDM1",64,67,99,82,64,61
"PRDM10",54,41,47,55,51,32
"PRDM11",3,0,0,2,0,1
"PRDM12",1,0,0,0,0,0
"PRDM13",0,2,0,0,0,0
"PRDM14",0,0,0,0,0,0
"PRDM15",19,20,22,23,10,18
"PRDM16",33,22,58,39,58,41
"PRDM2",160,111,146,118,186,125
"PRDM4",128,130,119,151,126,93
"PRDM5",32,33,29,33,31,32
"PRDM6",4,1,3,1,3,1
"PRDM7",0,0,0,0,0,0
"PRDM8",68,48,89,48,42,48
"PRDM9",0,0,0,0,0,5
"PRDX1",13954,10793,15441,22975,21058,13393
"PRDX2",4016,3043,5856,5702,5331,4546
"PRDX3",15620,11295,15390,20748,17216,13046
"PRDX4",6677,6200,7557,8845,7944,6739
"PRDX5",2268,2072,3377,3251,2962,1818
"PRDX6",4116,3180,5450,5528,5730,4410
"PREB",127,93,179,95,133,61
"PRELID1",2683,2629,3654,4141,4078,2042
"PRELID2",120,111,153,173,200,103
"PRELP",0,3,4,0,1,11
"PREP",250,172,301,212,332,167
"PREPL",700,520,858,877,1123,651
"PREX1",40,32,61,31,16,15
"PREX2",0,0,0,0,1,0
"PRF1",0,1,0,0,0,0
"PRG1",0,0,0,0,0,0
"PRG2",1,0,0,1,0,0
"PRG3",0,0,0,0,0,0
"PRG4",24,30,26,31,18,20
"PRH1",11,5,2,11,11,0
"PRH1-PRR4",67,64,81,92,62,72
"PRH2",3,1,1,5,0,0
"PRICKLE1",96,85,190,143,107,152
"PRICKLE2",114,89,198,170,148,175
"PRICKLE2-AS1",12,13,25,11,15,10
"PRICKLE2-AS2",1,0,0,0,0,0
"PRICKLE2-AS3",0,2,2,0,1,0
"PRICKLE3",9,7,13,2,11,3
"PRICKLE4",5,2,4,4,9,1
"PRIM1",403,313,491,535,539,440
"PRIM2",450,334,481,449,510,375
"PRIMA1",0,0,0,0,0,2
"PRIMPOL",224,144,334,212,201,180
"PRKAA1",560,415,609,527,781,468
"PRKAA2",255,251,203,332,332,216
"PRKAB1",131,101,115,83,134,91
"PRKAB2",114,122,114,137,134,83
"PRKACA",62,48,78,51,84,63
"PRKACB",558,360,632,685,712,621
"PRKACG",1,0,0,0,0,0
"PRKAG1",308,247,327,354,402,273
"PRKAG2",872,791,740,1116,1151,337
"PRKAG2-AS1",0,3,0,0,1,0
"PRKAG3",0,0,0,0,0,0
"PRKAR1A",1610,1067,1977,1746,2136,1670
"PRKAR1B",13,24,16,14,30,8
"PRKAR2A",317,258,491,438,572,283
"PRKAR2A-AS1",1,0,0,1,1,0
"PRKAR2B",212,170,235,265,295,206
"PRKCA",151,145,216,251,282,140
"PRKCB",0,0,0,0,0,1
"PRKCD",59,56,73,35,84,30
"PRKCDBP",348,266,563,281,370,320
"PRKCE",35,22,31,22,27,34
"PRKCG",0,0,0,0,0,0
"PRKCH",30,8,77,56,22,81
"PRKCI",456,348,458,492,490,314
"PRKCQ",1,0,0,3,0,0
"PRKCQ-AS1",3,7,0,1,4,1
"PRKCSH",130,91,99,106,128,97
"PRKCZ",9,11,16,21,10,13
"PRKD1",45,28,67,51,82,42
"PRKD2",43,38,17,21,35,22
"PRKD3",535,359,530,622,578,485
"PRKDC",926,748,1402,1614,1641,918
"PRKG1",17,8,19,17,15,32
"PRKG1-AS1",7,5,7,8,1,15
"PRKG2",6,4,0,6,1,0
"PRKRA",688,636,1183,1197,1182,826
"PRKRIP1",306,295,339,254,246,277
"PRKRIR",435,327,413,498,575,385
"PRKX",37,16,28,19,45,26
"PRKXP1",3,16,12,7,3,5
"PRKY",0,0,0,0,0,0
"PRL",0,0,0,0,0,1
"PRLH",0,0,0,0,0,0
"PRLHR",0,0,0,0,0,0
"PRLR",35,31,13,38,32,27
"PRM1",0,0,0,0,0,0
"PRM2",0,0,0,0,0,0
"PRM3",0,0,0,0,0,0
"PRMT1",1323,1144,1969,1818,1996,994
"PRMT2",1249,1015,2061,1371,1769,1089
"PRMT3",269,237,384,368,453,206
"PRMT5",238,206,338,241,343,169
"PRMT6",65,50,66,67,43,43
"PRMT7",49,16,40,22,47,25
"PRMT8",0,0,0,0,0,0
"PRMT9",78,50,67,49,85,58
"PRNCR1",14,9,7,7,7,6
"PRND",25,4,1,4,0,3
"PRNP",4752,3493,5815,4338,5518,3678
"PRNT",3,1,0,0,0,0
"PRO2852",15,27,5,21,20,27
"PROB1",0,0,0,0,0,0
"PROC",0,0,1,0,1,0
"PROCA1",3,6,5,6,6,5
"PROCR",1888,1584,1110,1154,1330,835
"PRODH",0,0,0,0,0,0
"PRODH2",0,0,0,0,0,0
"PROK1",0,0,0,0,0,1
"PROK2",1,3,0,0,0,0
"PROKR1",0,0,0,0,0,0
"PROKR2",0,1,0,0,0,0
"PROL1",0,0,0,0,0,0
"PROM1",3,0,0,0,5,1
"PROM2",0,1,2,0,1,0
"PROP1",0,0,0,0,0,0
"PRORSD1P",19,15,2,8,4,4
"PROS1",140,92,192,150,107,228
"PROSC",691,533,770,634,743,410
"PROSER1",105,105,95,128,115,90
"PROSER2",0,0,0,0,0,0
"PROSER2-AS1",2,1,5,2,4,0
"PROX1",16,16,12,4,8,23
"PROX1-AS1",0,0,0,0,0,0
"PROX2",1,0,0,0,0,0
"PROZ",0,0,0,0,0,0
"PRPF18",699,557,732,814,857,704
"PRPF19",16,17,16,15,24,17
"PRPF3",428,339,417,277,450,286
"PRPF31",134,121,260,140,242,121
"PRPF38A",853,790,967,1028,946,789
"PRPF38B",493,363,452,478,483,398
"PRPF39",353,412,335,340,405,323
"PRPF4",348,233,308,186,309,218
"PRPF40A",1890,1601,1801,1800,2237,1382
"PRPF40B",9,10,27,16,13,13
"PRPF4B",854,774,912,869,1155,847
"PRPF6",168,156,249,185,290,152
"PRPF8",388,328,457,419,583,283
"PRPH",7,5,2,0,2,4
"PRPH2",0,1,3,1,1,1
"PRPS1",223,166,234,265,334,153
"PRPS1L1",0,0,0,0,0,0
"PRPS2",590,347,683,541,644,401
"PRPSAP1",223,236,444,279,328,203
"PRPSAP2",209,167,326,254,262,170
"PRR11",286,244,608,427,571,260
"PRR12",3,2,6,5,6,4
"PRR13",1725,1544,2133,2496,2607,1492
"PRR14",53,32,64,43,39,45
"PRR14L",157,127,209,158,287,137
"PRR15",1,1,0,0,0,3
"PRR15L",0,0,0,1,0,0
"PRR16",348,325,316,333,264,270
"PRR18",0,1,0,0,0,0
"PRR19",31,26,61,49,60,41
"PRR20A",0,0,0,0,0,0
"PRR20B",0,0,0,0,0,0
"PRR20C",0,0,0,0,0,0
"PRR20D",0,0,0,0,0,0
"PRR20E",0,0,0,0,0,2
"PRR21",0,0,0,0,0,0
"PRR22",0,0,0,1,3,1
"PRR23A",0,0,0,0,0,0
"PRR23B",0,0,0,0,0,1
"PRR23C",0,0,0,0,0,0
"PRR23D1",0,0,0,0,0,0
"PRR23D2",0,0,0,0,0,0
"PRR24",84,84,152,123,103,119
"PRR25",0,3,0,0,0,0
"PRR26",5,4,4,5,6,0
"PRR3",46,30,64,50,76,42
"PRR4",42,41,94,65,100,328
"PRR5",0,0,0,0,0,0
"PRR5-ARHGAP8",0,0,0,0,0,0
"PRR5L",38,23,43,65,48,16
"PRR7",14,9,47,18,32,33
"PRR7-AS1",5,1,14,4,0,1
"PRR9",0,0,0,0,0,0
"PRRC1",391,287,473,490,476,425
"PRRC2A",55,40,81,86,89,56
"PRRC2B",183,153,241,225,257,185
"PRRC2C",1098,1006,1217,1053,1635,854
"PRRG1",221,181,131,145,212,133
"PRRG2",0,0,1,1,2,0
"PRRG3",0,0,0,0,0,0
"PRRG4",70,42,40,43,26,31
"PRRT1",0,3,9,2,0,5
"PRRT2",3,2,4,3,5,3
"PRRT3",21,30,32,33,43,28
"PRRT3-AS1",83,81,79,152,124,50
"PRRT4",1,0,0,0,0,0
"PRRX1",1233,1085,1919,1525,1865,1904
"PRRX2",0,0,0,0,0,0
"PRSS12",24,3,9,29,8,11
"PRSS16",0,2,0,1,0,0
"PRSS2",0,0,1,0,1,1
"PRSS21",0,0,0,2,0,0
"PRSS22",1,2,1,0,0,0
"PRSS23",2894,2000,3503,2263,3123,1799
"PRSS27",1,0,2,0,1,0
"PRSS3",2,5,0,0,0,0
"PRSS30P",0,0,0,0,0,0
"PRSS33",120,66,535,165,300,417
"PRSS35",0,0,1,0,1,1
"PRSS36",1,5,4,3,2,1
"PRSS37",1,1,0,0,0,0
"PRSS38",0,0,0,0,0,0
"PRSS41",0,0,0,0,0,0
"PRSS42",0,0,0,0,0,0
"PRSS44",0,1,0,0,0,0
"PRSS45",0,0,0,0,0,0
"PRSS46",0,1,0,0,0,0
"PRSS48",0,0,0,0,0,0
"PRSS50",0,0,0,0,0,0
"PRSS53",2,3,1,3,1,0
"PRSS54",0,0,6,0,0,0
"PRSS55",0,0,0,0,0,0
"PRSS56",0,0,0,0,0,0
"PRSS57",0,0,0,0,0,0
"PRSS8",0,0,0,0,0,0
"PRTFDC1",952,687,1218,1090,981,850
"PRTG",32,50,17,26,24,22
"PRTN3",0,0,0,0,0,0
"PRUNE",57,12,59,31,41,27
"PRUNE2",533,315,760,592,576,661
"PRX",0,0,2,1,0,0
"PSAP",821,629,877,460,651,586
"PSAPL1",0,0,0,0,0,0
"PSAT1",994,752,722,711,1673,543
"PSCA",1,1,2,3,0,0
"PSD",0,1,1,0,1,1
"PSD2",0,0,0,0,0,0
"PSD3",159,118,229,148,273,217
"PSD4",0,3,1,3,0,1
"PSEN1",462,311,386,318,538,286
"PSEN2",59,70,80,38,91,28
"PSENEN",840,816,1084,1155,1118,848
"PSG1",9,2,0,0,0,2
"PSG10P",2,0,3,0,0,0
"PSG11",1,0,0,0,0,1
"PSG2",0,1,0,0,0,0
"PSG3",4,0,0,1,0,0
"PSG4",0,3,0,0,0,1
"PSG5",2,1,0,1,0,0
"PSG6",0,0,0,0,0,0
"PSG7",7,0,0,0,0,0
"PSG8",0,1,0,0,0,0
"PSG9",0,0,0,0,0,0
"PSIMCT-1",18,9,20,17,14,6
"PSIP1",2230,1571,2681,2011,2228,1729
"PSKH1",5,6,12,8,7,3
"PSKH2",0,0,0,0,0,0
"PSMA1",7826,6540,8256,11724,10821,7258
"PSMA2",15189,11294,11744,17277,14805,11417
"PSMA3",5344,3687,3590,5118,4827,3716
"PSMA4",10063,7349,8410,11076,11092,7674
"PSMA5",4606,3684,4100,5104,4928,3553
"PSMA6",5318,3901,4194,5077,5051,3778
"PSMA7",13787,13078,17852,21089,20354,11556
"PSMA8",1,0,0,0,0,0
"PSMB1",5127,4549,6823,8061,7436,5070
"PSMB10",324,265,265,274,274,213
"PSMB11",0,0,0,0,0,0
"PSMB2",6961,5450,6646,8878,8496,6320
"PSMB3",5003,3649,5238,6528,6103,4397
"PSMB4",1089,978,1435,1575,1575,1114
"PSMB5",2336,1924,3008,3417,2993,2182
"PSMB6",3983,3608,5214,6245,5822,4036
"PSMB7",5711,4787,5403,7643,6983,4070
"PSMB8",2684,2076,1270,852,1417,1544
"PSMB9",5336,3758,1590,1283,2055,2812
"PSMC1",2948,2352,3568,3682,3976,2256
"PSMC2",4627,3714,5831,6195,6569,4721
"PSMC3",904,783,1535,1017,1323,799
"PSMC3IP",1255,980,879,775,830,714
"PSMC4",1060,1009,1364,1329,1429,765
"PSMC5",1186,959,1957,1506,1917,995
"PSMC6",3450,2700,3319,4280,4183,3119
"PSMD1",1375,906,1870,1419,1973,935
"PSMD10",2301,1888,3367,3225,3107,2287
"PSMD11",1776,1390,2022,1803,2158,1221
"PSMD12",2306,1887,2192,2633,3086,1735
"PSMD13",1115,942,1430,1345,1585,870
"PSMD14",2920,2487,3748,3995,4089,2640
"PSMD2",828,554,1116,719,1248,444
"PSMD3",86,61,90,72,88,54
"PSMD4",1857,1499,2576,2093,2389,1563
"PSMD5",819,692,903,733,876,517
"PSMD5-AS1",36,22,58,28,38,68
"PSMD6",2678,2200,3309,3530,3866,2176
"PSMD6-AS2",7,13,10,6,9,10
"PSMD7",1949,1492,2496,2455,2703,1812
"PSMD8",1719,1694,2640,2614,2991,1510
"PSMD9",653,710,887,936,907,526
"PSME1",5543,4064,3127,3017,3447,4032
"PSME2",7103,4953,3613,3810,4010,4907
"PSME3",868,626,811,774,1032,448
"PSME4",259,190,254,316,329,281
"PSMF1",1147,1040,1277,1166,1342,799
"PSMG1",2551,2245,2768,3217,3327,1919
"PSMG2",1815,1417,1509,1868,1754,1658
"PSMG3",511,503,750,637,572,497
"PSMG3-AS1",17,14,64,45,37,27
"PSMG4",579,461,550,668,750,486
"PSORS1C1",22,25,23,26,26,35
"PSORS1C2",0,0,0,0,0,0
"PSORS1C3",0,0,0,0,0,0
"PSPC1",329,339,307,212,315,230
"PSPH",538,490,648,544,819,467
"PSPN",0,0,0,0,0,0
"PSRC1",65,63,161,66,94,64
"PSTK",93,101,124,122,135,112
"PSTPIP1",0,0,0,0,0,0
"PSTPIP2",91,65,212,135,193,85
"PTAFR",0,2,1,0,0,0
"PTAR1",423,359,424,457,461,359
"PTBP1",323,294,420,399,428,227
"PTBP2",593,593,410,599,577,415
"PTBP3",605,438,567,592,679,488
"PTCD1",488,469,424,566,512,368
"PTCD2",161,155,248,247,186,177
"PTCD3",657,477,658,773,782,494
"PTCH1",12,7,13,6,21,11
"PTCH2",2,0,0,2,1,2
"PTCHD1",9,6,5,8,2,7
"PTCHD2",0,0,0,0,0,0
"PTCHD3",2,0,0,0,1,0
"PTCHD3P1",238,207,229,203,305,139
"PTCHD4",93,60,42,25,19,33
"PTCRA",0,0,0,0,0,0
"PTCSC3",0,2,0,0,0,1
"PTDSS1",615,442,650,647,750,416
"PTDSS2",34,29,76,35,51,20
"PTEN",543,430,833,688,803,681
"PTENP1-AS",0,0,0,0,0,0
"PTER",0,0,0,1,0,0
"PTF1A",2,0,0,0,0,0
"PTGDR",1,0,4,1,3,1
"PTGDR2",6,4,5,8,2,4
"PTGDS",3,0,25,36,3,35
"PTGER1",5,1,3,0,1,1
"PTGER2",3,0,0,0,0,0
"PTGER3",1,7,0,5,0,1
"PTGER4",42,61,41,55,81,53
"PTGER4P2-CDK2AP2P2",8,8,4,6,6,4
"PTGES",2,4,1,1,3,1
"PTGES2",107,137,230,101,195,78
"PTGES2-AS1",2,0,0,0,0,0
"PTGES3",6713,5851,7981,9077,9551,5550
"PTGES3L",6,5,14,2,2,2
"PTGES3L-AARSD1",0,0,0,5,0,0
"PTGFR",176,143,177,155,106,154
"PTGFRN",136,92,204,124,204,125
"PTGIR",1,2,0,0,0,0
"PTGIS",4,1,0,0,0,0
"PTGR1",1413,1178,1908,2032,1872,1404
"PTGR2",184,190,286,221,312,245
"PTGS1",0,1,0,1,0,0
"PTGS2",1,1,0,0,0,1
"PTH",0,0,0,0,0,0
"PTH1R",0,0,0,1,0,0
"PTH2",0,0,2,0,0,0
"PTH2R",0,0,0,0,0,0
"PTHLH",200,179,182,215,477,175
"PTK2",304,266,328,334,431,244
"PTK2B",22,19,19,10,17,22
"PTK6",0,0,0,0,0,0
"PTK7",21,10,12,16,28,19
"PTMA",8283,7426,10492,9878,10441,7019
"PTMS",215,179,286,235,331,178
"PTN",6423,4253,5830,4470,5249,8804
"PTOV1",114,91,253,111,155,104
"PTOV1-AS1",61,50,43,32,39,50
"PTP4A1",2949,3115,2695,2969,4008,1927
"PTP4A2",2598,2536,3387,3425,3562,2018
"PTP4A3",0,1,0,0,0,0
"PTPDC1",61,44,56,68,90,48
"PTPLA",757,618,709,1040,937,638
"PTPLAD1",2670,1787,2822,2510,3038,2231
"PTPLAD2",15,12,5,9,12,12
"PTPLB",45,31,80,62,102,64
"PTPMT1",775,653,900,1037,1002,724
"PTPN1",127,83,173,131,200,124
"PTPN11",368,307,435,588,642,349
"PTPN12",2040,1731,1656,1817,2344,1783
"PTPN13",81,58,202,128,166,210
"PTPN14",343,321,498,666,630,254
"PTPN18",35,35,66,65,52,29
"PTPN2",702,561,673,721,704,590
"PTPN20B",3,0,1,0,2,2
"PTPN21",108,71,89,107,121,70
"PTPN22",22,7,12,21,42,14
"PTPN23",24,18,36,22,43,24
"PTPN3",2,1,0,0,1,3
"PTPN4",57,21,45,61,78,48
"PTPN5",0,0,0,0,0,0
"PTPN6",0,0,0,0,1,1
"PTPN7",0,0,1,0,1,0
"PTPN9",184,109,165,158,182,115
"PTPRA",423,332,525,386,617,483
"PTPRB",4,2,0,0,0,0
"PTPRC",1,0,2,0,0,4
"PTPRCAP",0,0,0,0,1,0
"PTPRD",2,0,1,0,0,0
"PTPRE",143,109,190,201,195,121
"PTPRF",182,194,179,307,340,127
"PTPRG",446,319,712,570,549,751
"PTPRG-AS1",10,5,11,5,5,6
"PTPRH",0,2,0,3,2,0
"PTPRJ",23,24,34,27,57,19
"PTPRK",430,377,468,487,605,378
"PTPRM",0,0,0,0,0,0
"PTPRN",0,0,1,0,0,0
"PTPRN2",0,4,2,0,0,6
"PTPRO",65,28,133,70,51,130
"PTPRQ",25,13,12,27,11,4
"PTPRR",76,71,19,48,70,31
"PTPRS",30,21,38,39,31,42
"PTPRT",6,2,3,0,0,1
"PTPRU",0,1,1,0,0,0
"PTPRVP",0,0,0,0,0,2
"PTPRZ1",1,1,1,2,0,0
"PTRF",547,477,773,662,854,308
"PTRH1",114,116,168,195,173,123
"PTRH2",944,818,786,1303,1235,816
"PTRHD1",177,179,350,334,324,317
"PTS",1838,1505,1885,2527,2226,1505
"PTTG1",2693,1975,3528,3663,3567,2414
"PTTG1IP",3135,2292,3115,3313,5312,1454
"PTTG2",2,1,0,0,0,0
"PTTG3P",0,0,0,0,0,0
"PTX3",1079,909,461,1040,805,345
"PTX4",0,0,0,0,0,0
"PUF60",314,285,443,244,428,240
"PUM1",485,394,514,600,549,507
"PUM2",724,582,681,788,715,588
"PURA",172,136,140,202,144,114
"PURB",260,307,343,335,348,255
"PURG",10,17,8,12,7,13
"PUS1",28,13,38,32,27,14
"PUS10",58,49,61,62,65,41
"PUS3",228,203,148,234,218,208
"PUS7",476,331,441,411,631,285
"PUS7L",317,356,368,453,566,331
"PUSL1",72,86,144,131,116,57
"PVALB",0,0,0,0,0,0
"PVR",168,131,116,96,206,61
"PVRIG",0,0,0,0,0,0
"PVRIG2P",0,0,0,0,0,0
"PVRL1",13,11,19,15,11,3
"PVRL2",141,112,99,62,87,25
"PVRL3",872,770,630,1129,1297,581
"PVRL3-AS1",2,2,1,4,7,6
"PVRL4",2,5,0,0,1,1
"PVT1",39,48,24,40,50,27
"PWP1",924,744,941,1116,1224,582
"PWP2",0,0,0,0,0,2
"PWRN1",1,0,0,0,0,0
"PWRN2",1,2,0,2,0,0
"PWRN3",0,0,0,0,0,0
"PWWP2A",166,143,138,146,193,106
"PWWP2B",10,6,4,2,4,1
"PXDC1",120,105,68,84,118,53
"PXDN",168,128,223,211,276,147
"PXDNL",1,1,1,1,0,1
"PXK",208,188,244,264,333,196
"PXMP2",584,483,914,870,775,527
"PXMP4",238,201,390,301,282,226
"PXN",100,82,76,123,159,56
"PXN-AS1",24,25,73,84,60,31
"PXT1",0,0,0,1,0,3
"PYCARD",0,0,0,0,0,0
"PYCR1",75,77,152,132,180,57
"PYCR2",142,83,219,125,124,111
"PYCRL",28,27,25,26,32,17
"PYDC1",0,0,0,0,0,0
"PYDC2",0,0,0,0,0,0
"PYGB",170,143,207,129,179,112
"PYGL",870,596,775,775,872,481
"PYGM",2,1,1,1,0,0
"PYGO1",113,85,119,193,141,114
"PYGO2",36,32,60,28,35,42
"PYHIN1",0,0,1,0,0,1
"PYROXD1",1679,1181,1557,1786,2018,1371
"PYROXD2",5,4,12,12,8,4
"PYURF",1448,1375,1675,1958,1916,1165
"PYY",0,0,0,0,0,0
"PYY2",3,1,0,0,1,0
"PZP",0,0,0,0,0,0
"QARS",189,121,275,166,239,127
"QDPR",274,330,390,362,381,216
"QKI",602,562,532,795,757,570
"QPCT",284,219,225,213,227,178
"QPCTL",10,6,20,10,8,2
"QPRT",0,0,2,4,4,3
"QRFP",0,0,0,0,0,1
"QRFPR",5,0,0,0,7,3
"QRICH1",148,127,190,147,188,146
"QRICH2",1,5,0,5,1,0
"QRSL1",320,293,437,428,446,279
"QSER1",432,328,469,607,565,337
"QSOX1",194,176,120,199,237,98
"QSOX2",75,63,66,91,97,66
"QTRT1",44,64,111,67,66,29
"QTRTD1",247,276,251,264,321,213
"R3HCC1",72,56,127,72,114,71
"R3HCC1L",399,289,257,312,363,278
"R3HDM1",151,134,230,225,251,176
"R3HDM2",55,43,81,113,106,55
"R3HDM4",52,31,67,31,59,26
"R3HDML",0,0,0,0,0,0
"RAB10",1758,1190,1848,1467,1706,1090
"RAB11A",3867,2632,4561,4367,5213,3477
"RAB11B",125,110,219,141,158,145
"RAB11B-AS1",24,9,38,20,20,37
"RAB11FIP1",13,7,6,7,28,2
"RAB11FIP2",279,289,231,300,360,213
"RAB11FIP3",13,15,19,21,29,24
"RAB11FIP4",2,0,3,2,2,0
